URL,Title,Localisation,Price,Chambre,Salle de bain,Type,Secteur,Salons,Surface habitable,Age de bien,Etage,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine equipee,Duplex,Meuble,Parking,Securite,Terrasse
https://www.avito.ma/fr/el_haddada/appartements/belle_appartement_a_vendre_55636618.htm,belle appartement a vendre,kénitra,72000.0,2,2,Vendre,el haddada,1.0,80.0,2.0,2,False,True,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/autre_secteur/appartements/%D8%B4%D9%82%D8%A9_%D8%A8%D9%88%D8%A7%D8%AC%D9%87%D8%AA%D9%8A%D9%86_%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8_%D9%85%D9%86_%D8%AF%D9%8A%D9%83%D8%A7%D8%AA%D9%84%D9%88%D9%86_%D9%81%D9%85%D9%86%D8%B2%D9%84_R2__55576138.htm,??? ???????? ?????? ?? ???????? ????? R2,meknès,880000.0,3,3,Vendre,autre secteur,3.0,140.0,3.0,2,False,True,True,True,True,False,True,False,False,False,True
https://www.avito.ma/fr/autre_secteur/appartements/%D8%B4%D9%82%D8%A9_%D9%81%D8%B1%D9%8A%D8%A7%D8%B6_%D8%A7%D9%84%D8%B2%D9%8A%D8%AA%D9%88%D9%86_%D9%81%D9%85%D9%86%D8%B2%D9%84_R2_%D8%A8%D8%A7%D9%84%D9%82%D8%B1%D8%A8_%D9%85%D9%86_%D8%AC%D9%85%D9%8A%D8%B9_%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D9%81%D9%82_55576052.htm,??? ????? ??????? ????? R2 ?????? ?? ???? ???????,meknès,730000.0,3,2,Vendre,autre secteur,3.0,110.0,3.0,1,False,True,True,True,True,False,True,False,False,False,True
https://www.avito.ma/fr/autre_secteur/appartements/%D8%B4%D9%82%D9%82_%D9%81%D9%85%D9%86%D8%B2%D9%84_R2_%D9%81%D9%82%D8%B7_%D8%A8%D8%AB%D9%85%D9%86_%D8%AC%D8%AF_%D9%85%D9%86%D8%A7%D8%B3%D8%A8_55575966.htm,??? ????? R2 ??? ???? ?? ?????,meknès,560000.0,3,2,Vendre,autre secteur,3.0,110.0,3.0,1,True,True,True,True,True,False,True,False,False,False,True
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_NMI219_55602362.htm,Appartement à vendre NMI219,tanger,1750000.0,3,2,Vendre,autre secteur,3.0,117.0,3.0,3,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_3Chmbr_HajFateh_54884187.htm,Appartement à vendre 74 m² 3Chmbr HajFateh,casablanca,799000.0,3,1,Vendre,oulfa,3.0,74.0,3.0,1,False,False,True,True,True,False,True,False,True,False,False
https://www.avito.ma/fr/mghogha/appartements/Appartement_%C3%A0_vendre_a_doha_marjan_mghogha_55570118.htm,Appartement à vendre a doha marjan mghogha,tanger,235000.0,2,2,Vendre,mghogha,2.0,50.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/a%C3%AFn_chock/appartements/appart_moyen_std_55635544.htm,appart moyen std,casablanca,660000.0,2,2,Vendre,aïn chock,2.0,59.0,2.0,3,False,False,False,False,False,False,False,False,False,False,True
https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Casablanca_55635391.htm,Appartement à vendre 100 m² à Casablanca,casablanca,1300000.0,3,1,Vendre,aïn chock,3.0,100.0,3.0,0,False,False,False,False,False,False,False,False,False,False,True
https://www.avito.ma/fr/cabo_negro/appartements/appartement_%C3%A0_vendre_cabo_NEGRO__55635341.htm,appartement à vendre cabo NEGRO,cabo negro,1600000.0,2,1,Vendre,toute la ville,1.0,55.0,8.0,2,True,True,False,True,False,False,False,False,True,False,True
